x,MeanCluster6,MeanCluster5,MeanCluster4,MeanCluster3,MeanCluster2,MeanCluster1
0.6,0.3425,0.40778,0.326556,0.2770125,0.208055556,0.1426
0.601,0.34335,0.40875,0.327576,0.27785,0.208933333,0.1437
0.602,0.34405,0.40969,0.328528,0.278825,0.209844444,0.144
0.603,0.3447,0.41064,0.329552,0.2797125,0.210744444,0.1445
0.604,0.34535,0.41163,0.330576,0.2805625,0.211677778,0.1453
0.605,0.3463,0.41241,0.331472,0.2813875,0.212333333,0.1465
0.606,0.3471,0.41331,0.332376,0.2822375,0.213111111,0.1473
0.607,0.3479,0.41421,0.333248,0.2830375,0.213922222,0.1479
0.608,0.34865,0.41503,0.334024,0.2837875,0.214677778,0.1485
0.609,0.34925,0.41576,0.334848,0.2844375,0.215411111,0.149
0.61,0.3498,0.41646,0.335684,0.285125,0.216122222,0.1497
0.611,0.35055,0.4172,0.336512,0.2858375,0.216844444,0.1509
0.612,0.3515,0.418,0.337336,0.2866375,0.217588889,0.1511
0.613,0.35225,0.41876,0.338104,0.2873875,0.218288889,0.1515
0.614,0.35275,0.41949,0.33886,0.288075,0.218933333,0.1523
0.615,0.35345,0.42027,0.339632,0.2887375,0.219611111,0.1529
0.616,0.354,0.42101,0.34036,0.289425,0.220255556,0.1536
0.617,0.3546,0.42174,0.341092,0.29015,0.220922222,0.1543
0.618,0.3555,0.42242,0.34184,0.2908125,0.221433333,0.1545
0.619,0.3561,0.42318,0.342524,0.2913625,0.222077778,0.1551
0.62,0.3565,0.42389,0.343132,0.2919375,0.222733333,0.1558
0.621,0.3569,0.42446,0.343672,0.2926,0.223377778,0.1565
0.622,0.3576,0.42497,0.34432,0.293175,0.223855556,0.157
0.623,0.3582,0.42556,0.344968,0.293775,0.224333333,0.1574
0.624,0.35885,0.42624,0.34558,0.294425,0.224833333,0.1576
0.625,0.3594,0.42684,0.346192,0.2949125,0.2254,0.1582
0.626,0.3599,0.4275,0.346804,0.29545,0.226,0.1587
0.627,0.3604,0.42817,0.347416,0.29605,0.2266,0.1592
0.628,0.36085,0.42872,0.348024,0.2966875,0.227111111,0.1596
0.629,0.3615,0.42949,0.348644,0.2973,0.227655556,0.1602
0.63,0.36215,0.43022,0.349212,0.2978875,0.228222222,0.1608
0.631,0.3628,0.43063,0.349708,0.2983625,0.228844444,0.1615
0.632,0.36335,0.43136,0.350296,0.2989125,0.229311111,0.162
0.633,0.36385,0.43217,0.350888,0.299475,0.2297,0.1623
0.634,0.3643,0.43298,0.35146,0.3000875,0.230066667,0.1621
0.635,0.36515,0.43358,0.352212,0.3006375,0.230733333,0.163
0.636,0.3658,0.43421,0.352844,0.3012375,0.231355556,0.1638
0.637,0.36645,0.43492,0.353384,0.3019,0.231922222,0.1644
0.638,0.367,0.43567,0.354028,0.302525,0.232466667,0.1645
0.639,0.3677,0.43649,0.354788,0.3031875,0.233044444,0.1648
0.64,0.3686,0.43731,0.355556,0.3039125,0.233644444,0.1654
0.641,0.36935,0.438,0.356268,0.3045375,0.234255556,0.1663
0.642,0.3701,0.43876,0.356892,0.3051375,0.234877778,0.1669
0.643,0.3708,0.43954,0.35752,0.305775,0.235455556,0.1673
0.644,0.37135,0.44028,0.358228,0.3064875,0.236,0.1675
0.645,0.37195,0.44101,0.358928,0.3070875,0.236577778,0.168
0.646,0.37255,0.44169,0.359548,0.3077,0.237144444,0.1686
0.647,0.37305,0.4423,0.360124,0.3083,0.237711111,0.1692
0.648,0.37365,0.4431,0.360756,0.30895,0.238255556,0.1695
0.649,0.37435,0.4438,0.361424,0.3096375,0.238855556,0.1701
0.65,0.3751,0.44446,0.36212,0.3103,0.239466667,0.1708
0.651,0.3759,0.44511,0.3627,0.3108,0.239911111,0.1711
0.652,0.3767,0.44579,0.363328,0.3114375,0.240422222,0.1716
0.653,0.3774,0.44646,0.363984,0.3120625,0.240966667,0.172
0.654,0.37795,0.44715,0.364644,0.3126375,0.241611111,0.1726
0.655,0.3784,0.44782,0.365272,0.3131875,0.242088889,0.173
0.656,0.379,0.44848,0.36584,0.313775,0.242622222,0.1735
0.657,0.37965,0.44914,0.36638,0.3144125,0.243166667,0.174
0.658,0.38025,0.44999,0.36708,0.3152875,0.243755556,0.1741
0.659,0.381,0.45068,0.367732,0.31585,0.244322222,0.1746
0.66,0.3818,0.45133,0.368336,0.3162375,0.244855556,0.1754
0.661,0.38245,0.45203,0.368964,0.316725,0.245411111,0.1758
0.662,0.3829,0.45265,0.36958,0.3174875,0.245911111,0.1761
0.663,0.38335,0.45328,0.370184,0.318225,0.246444444,0.1765
