x,01_Soil,02_Dry_bush,03_Soil,04_Very_green_bush,05_Soil_with_crust,06_Soil_without_crust,07_Desert_pink_flowers,08_Brown_thorns,09_Very_dry_grass,10_Mix_of_soil_and_crust,11_Dense_desert_pink_flowers,12_Soil_with_crust,13_Rock_and_stones,14_Small_stones,15_Green-light_blue_bush,16_Very_dry_grass,17_Greenish_thorns,18_Bush,19_Sparse_dry_grass,20_Soil_with_crust,21_Acacia
0.4627 ,0.099833333,0.110475000,0.280933333,0.081833333,0.274266667,0.208325000,0.135466667,0.078433333,0.111100000,0.224300000,0.087300000,0.278800000,0.288650000,0.456825000,0.090233333,0.087500000,0.084200000,0.134150000,0.126666667,0.253400000,0.073180000
0.4642 ,0.100733333,0.110950000,0.282033333,0.082300000,0.275366667,0.209375000,0.136400000,0.079000000,0.112266667,0.225400000,0.087900000,0.280000000,0.289775000,0.457600000,0.090633333,0.088400000,0.084500000,0.134775000,0.127966667,0.254533333,0.073560000
0.4656 ,0.101666667,0.111400000,0.283233333,0.082766667,0.276566667,0.210500000,0.137466667,0.079600000,0.113400000,0.226500000,0.088566667,0.281233333,0.290900000,0.458400000,0.091000000,0.089233333,0.084800000,0.135450000,0.129366667,0.255700000,0.073940000
0.4670 ,0.102600000,0.111875000,0.284366667,0.083233333,0.277666667,0.211525000,0.138433333,0.080166667,0.114600000,0.227566667,0.089200000,0.282333333,0.292025000,0.459250000,0.091333333,0.090133333,0.085066667,0.136150000,0.130733333,0.256800000,0.074320000
0.4685 ,0.103466667,0.112250000,0.285366667,0.083666667,0.278633333,0.212500000,0.139366667,0.080766667,0.115666667,0.228600000,0.089766667,0.283466667,0.293100000,0.459900000,0.091700000,0.090966667,0.085366667,0.136775000,0.132000000,0.257800000,0.074640000
0.4699 ,0.104366667,0.112725000,0.286500000,0.084133333,0.279800000,0.213575000,0.140333333,0.081333333,0.116833333,0.229666667,0.090400000,0.284600000,0.294225000,0.460825000,0.092033333,0.091833333,0.085633333,0.137425000,0.133333333,0.258966667,0.075040000
0.4714 ,0.105233333,0.113200000,0.287533333,0.084533333,0.280800000,0.214550000,0.141233333,0.081900000,0.117933333,0.230633333,0.090966667,0.285666667,0.295275000,0.461550000,0.092366667,0.092633333,0.085900000,0.138025000,0.134633333,0.260000000,0.075360000
0.4728 ,0.106166667,0.113650000,0.288666667,0.085000000,0.281900000,0.215625000,0.142200000,0.082466667,0.119133333,0.231733333,0.091566667,0.286800000,0.296375000,0.462375000,0.092666667,0.093466667,0.086100000,0.138700000,0.136000000,0.261133333,0.075740000
0.4742 ,0.106900000,0.113975000,0.289566667,0.085266667,0.282733333,0.216450000,0.142933333,0.083000000,0.120100000,0.232633333,0.092100000,0.287733333,0.297325000,0.463025000,0.092933333,0.094233333,0.086233333,0.139225000,0.137133333,0.262000000,0.076000000
0.4756 ,0.107866667,0.114475000,0.290800000,0.085733333,0.283933333,0.217550000,0.143933333,0.083566667,0.121300000,0.233733333,0.092700000,0.288933333,0.298500000,0.463900000,0.093233333,0.095033333,0.086433333,0.139875000,0.138500000,0.263166667,0.076340000
