 x , Cluster6 , Cluster5 , Cluster4 , Cluster3 , Cluster2 , Cluster1 
0.8525,0.555476799,0.48609184,0.458933872,0.415327228,0.326212514,0.239047468
0.855,0.556001752,0.486587657,0.459389172,0.41580471,0.326775479,0.239612978
0.8575,0.556641794,0.487064353,0.459889368,0.41618874,0.327693662,0.240170158
0.86,0.557346197,0.487685304,0.46041841,0.416575907,0.328973934,0.240607061
0.8625,0.558040784,0.488497232,0.460958271,0.417051726,0.330000596,0.240928393
0.865,0.558627746,0.489253741,0.46149093,0.417650406,0.330372798,0.241413569
0.8675,0.559087482,0.489819487,0.462008119,0.418384696,0.330453846,0.242220632
0.87,0.559661414,0.490543807,0.462532833,0.419221103,0.330639491,0.242997973
0.8725,0.560546691,0.491718392,0.463078773,0.42011864,0.330962854,0.243422362
0.875,0.561495555,0.492922073,0.46358794,0.421044404,0.331385145,0.24377145
0.8775,0.562200354,0.493635117,0.463999807,0.421953186,0.331951717,0.244423907
0.88,0.562811027,0.494053543,0.464375358,0.422701735,0.33271274,0.245275221
0.8825,0.563628712,0.494631304,0.464817892,0.42314219,0.333521293,0.246044355
0.885,0.564587068,0.495461926,0.465354828,0.423483279,0.334154673,0.246669572
0.8875,0.565419324,0.496428243,0.465968923,0.424104344,0.334641561,0.247214582
0.89,0.566035677,0.497367718,0.466628201,0.424841208,0.335171157,0.247727021
0.8925,0.566489148,0.498090561,0.467287466,0.425120785,0.335727201,0.248240523
0.895,0.566836711,0.498592466,0.467849121,0.425051186,0.336104698,0.248788608
0.8975,0.567135339,0.499070774,0.468161868,0.425497015,0.336317164,0.249415108
0.9,0.567442006,0.499608983,0.468253542,0.426818914,0.33666595,0.250176201
0.9025,0.567813283,0.500103781,0.468425109,0.428053134,0.337295691,0.251050494
0.905,0.568240207,0.500486435,0.468823636,0.42859423,0.338039373,0.251877439
0.9075,0.56857647,0.500793165,0.469226039,0.429005893,0.338736792,0.2524823
0.91,0.56873026,0.501073409,0.46947362,0.429756601,0.339324358,0.25282317
0.9125,0.568822719,0.501376603,0.469736951,0.430595707,0.339770957,0.253252182
0.915,0.568996237,0.501740301,0.470163238,0.431219309,0.340108357,0.254072464
0.9175,0.569316217,0.502151427,0.4705411,0.431662205,0.340404058,0.255068337
0.92,0.569805457,0.50257835,0.470645516,0.432042341,0.340837073,0.255935552
0.9225,0.570350341,0.502958177,0.470756755,0.432434028,0.341586548,0.256676075
0.925,0.57080254,0.503231105,0.471280491,0.432902226,0.34256637,0.257404182
0.9275,0.571171522,0.50347448,0.472008914,0.433578377,0.343576542,0.258194223
0.93,0.571546183,0.503826274,0.472464175,0.434595098,0.344487108,0.259091036
0.9325,0.57194284,0.504242589,0.473000423,0.43559655,0.345225564,0.26002578
0.935,0.572335737,0.504569476,0.474523848,0.435925918,0.345953155,0.260856254
0.9375,0.572994395,0.505258968,0.476330294,0.436397456,0.347033768,0.261698305
0.94,0.574479241,0.507358302,0.476075728,0.439259248,0.348826289,0.262927091
0.9425,0.576807973,0.510690699,0.475821442,0.443272642,0.351664515,0.264639729
0.945,0.579218685,0.5136592,0.482998847,0.445058299,0.355093554,0.266525858
0.9475,0.581149984,0.51545484,0.484719048,0.445666681,0.35750105,0.268244986
0.95,0.582545803,0.515878572,0.483492831,0.446180558,0.358553449,0.269563556
0.9525,0.583456175,0.515785212,0.48374895,0.446716292,0.358703993,0.270494983
0.955,0.584062414,0.515938362,0.484705253,0.447252242,0.358414662,0.271106774
