run_index,parent_run_index,run_overrides,pixel_index,source,abundance_rmse,reconstruction_rmse,endmember_1,endmember_2,endmember_3,endmember_4,endmember_5,endmember_6
12,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=30.0",8418,kan,0.050420,0.014147,0.087151,0.059898,0.117117,0.109112,0.282704,0.344017
12,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=30.0",8418,mlp,0.040020,0.015367,0.072004,0.062895,0.090733,0.131296,0.263766,0.379306
12,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=30.0",8418,sunsal,0.123290,0.014035,-0.000017,0.101691,-0.000919,0.193927,0.517746,0.187573
12,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=30.0",8418,vpgdu,0.069336,0.016769,0.000000,0.125013,0.004491,0.145224,0.390130,0.335142
13,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=inf",326,true,0.000000,0.000000,0.257733,0.000668,0.003504,0.098328,0.412425,0.227343
13,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=inf",326,gbm,0.004901,0.000493,0.253433,0.005857,0.000151,0.092391,0.419536,0.228632
13,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=inf",326,kan,0.022254,0.009824,0.260509,0.043472,0.012583,0.074510,0.398783,0.210144
13,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=inf",326,mlp,0.073953,0.002222,0.199662,0.043710,0.068048,0.061102,0.301490,0.325988
13,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=inf",326,sunsal,0.005124,0.000020,0.253841,0.006196,0.000136,0.093701,0.421027,0.225098
13,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=inf",326,vpgdu,0.002278,0.000302,0.255075,0.003046,0.003913,0.095115,0.412708,0.230142
13,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=inf",3629,true,0.000000,0.000000,0.111194,0.250632,0.127569,0.007689,0.013728,0.489188
